2026-01-05 19:03:42 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport (subject 1/2)
2026-01-05 19:03:42 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport
2026-01-05 19:03:42 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport -> /tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport
2026-01-05 19:03:42 - INFO | >> Sorting: /tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport (12 files)
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0008.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0016.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0013.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0011.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0014.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0017.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0007.dcm'
2026-01-05 19:03:42 - INFO | Skipping report file '/tmp/tmpb_t6fjfv/home/rflaherty/test_dicoms/20241022/91_0099_phoenixzipreport/original-primary-other-csa-report_e09_0018.dcm'
